average,median,maximum,minimum,peak,nonelevatedpeak,standarddeviation,standarddeviationpop,percentile15,percentile25,percentile50,percentile75,amplitude,variance,class
1257.2499999999773,801.7692895286547,7576.615407399694,4.651965213332339,0.24100218731358558,9.781414287122503,1313.8324664887582,1314.555743431232,159.73546189519044,306.62070186633537,801.7692895286547,1783.4786326982878,7571.963442186362,1728056.8025880393,mRNA
1537.4999999999613,1060.1023882285112,11557.0,2.817071127234241,0.23544715447155062,10.55900365996121,1661.3835348888838,1662.14897309346,183.21543574619847,404.30699006635376,1060.1023882285112,2130.4405286950005,11554.182928872766,2762739.2087556436,mRNA
2908.7500000000155,1855.843562043218,67130.99999999999,0.8415154771392467,0.24237215298667683,14.972964843684604,3589.730926545909,3590.5798637521834,427.21110729325983,814.4361164687008,1855.843562043218,3971.799598509351,67130.15848452285,12892263.757982647,mRNA
2288.7499999966144,1472.1411112679766,166056.25,6.927032996513173,0.2486073184056108,13.712623432404962,4799.573275301239,4800.979743690492,364.8893118733506,631.5964563590952,1472.1411112679766,2877.039380599052,166049.32296700348,23049406.49932642,mRNA
1096.2500000002585,738.0961185625418,13800.026583695939,1.6274637421981923,0.23382744203719302,8.857670823599426,1313.5969701549425,1314.4518983093278,155.8539817438892,294.83287088026054,738.0961185625418,1468.359504562219,13798.399119953741,1727783.7929689954,mRNA
2411.9999999996458,1660.2817361102036,30519.659071938877,1.2049462893616023,0.2332780541736108,13.043758573232584,2665.770245163324,2666.5602200644,354.8534603201844,699.380209119397,1660.2817361102036,3245.776608123359,30518.454125649514,7110543.407229901,mRNA
2596.7499999996285,1693.7471635110219,22495.912086997687,0.3836753916414157,0.24376624626941007,14.156107024844413,2830.496709943005,2831.242264205887,438.4784131956414,696.8284626480622,1693.7471635110219,3542.476993405228,22495.528411606047,8015932.758625677,mRNA
3670.4999999962074,2419.0653712823128,37990.78590496522,3.2122545158070315,0.23411887572107923,16.265951710847396,4209.619965029446,4210.43665336093,536.4542324190794,942.8340239957145,2419.0653712823128,4891.718837722498,37987.57365044941,17727776.81196519,mRNA
2840.750000002788,1972.24594343056,49809.69619015832,3.614847281238892,0.2528674939127443,15.246761053073289,3132.5008579431915,3133.227909330014,446.30855581916444,804.8829546576527,1972.24594343056,4000.1626157362216,49806.08134287708,9817117.131804531,mRNA
1725.0000000000186,1175.5768281965811,14439.038756302492,0.24071691080738394,0.25429951690820984,12.001697410161801,1772.756046386547,1773.4299700171964,248.79843783137864,478.6802325130375,1175.5768281965811,2404.7096314753817,14438.798039391684,3145053.858555194,mRNA
